Individual/Business name,Address,Economic activity,Year
"Jilbert, Mrs Elizabeth","? Albert Pl, Melbourne, Australia",[no data],1900
1st of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1900
2nd of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1900
Ah Chung,"? Albert Pl, Melbourne, Australia",[no data],1901
Lee-Sing,"? Albert Pl, Melbourne, Australia",[no data],1901
Ah Wan,"? Albert Pl, Melbourne, Australia",[no data],1901
1st of '2 houses occupied by Chinamen',"? Albert Pl, Melbourne, Australia",[no data],1902
2nd of '2 houses occupied by Chinamen',"? Albert Pl, Melbourne, Australia",[no data],1902
"Gilbert, Mrs Elizabeth","? Albert Pl, Melbourne, Australia",[no data],1902
1st of '2 houses occupied by Chinamen',"? Albert Pl, Melbourne, Australia",[no data],1903
2nd of '2 houses occupied by Chinamen',"? Albert Pl, Melbourne, Australia",[no data],1903
"Racham, Wm.","? Albert Pl, Melbourne, Australia",[no data],1903
1st of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1904
2nd of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1904
"Racham, William","? Albert Pl, Melbourne, Australia",[no data],1904
1st of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1905
2nd of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1905
1st of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1906
2nd '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1906
1st of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1907
2nd of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1907
Long Dow,"? Albert Pl, Melbourne, Australia",[no data],1907
1st of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1908
2nd of '2 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1908
1st of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
2nd of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
3rd of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
4th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
5th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
6th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
7th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
8th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
9th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
10th of '10 houses occupied by Chinese',"? Albert Pl, Melbourne, Australia",[no data],1909
[no data],"- Albert Pl, Melbourne, Australia",[no data],1940
Ah Wing,"1 Albert Pl, Melbourne, Australia",[no data],1907
Ah Wing,"1 Albert Pl, Melbourne, Australia",[no data],1908
Ah Yick,"2 Albert Pl, Melbourne, Australia",[no data],1907
Ah Yick,"2 Albert Pl, Melbourne, Australia",[no data],1908
Ah Nung,"3 Albert Pl, Melbourne, Australia",[no data],1907
Ah Nung,"3 Albert Pl, Melbourne, Australia",[no data],1908
Ah Him,"4 Albert Pl, Melbourne, Australia",[no data],1907
Ah Nim,"4 Albert Pl, Melbourne, Australia",[no data],1908
Ah Sing,"5 Albert Pl, Melbourne, Australia",[no data],1907
Ah Sing,"5 Albert Pl, Melbourne, Australia",[no data],1908
"Kegg, Bar","6 Albert Pl, Melbourne, Australia",[no data],1907
"Kegg, Har","6 Albert Pl, Melbourne, Australia",[no data],1908
Ah Sing,"7 Albert Pl, Melbourne, Australia",[no data],1907
Ah Sing,"7 Albert Pl, Melbourne, Australia",[no data],1908
Kong Loung,"8 Albert Pl, Melbourne, Australia",[no data],1907
Kong Loong,"8 Albert Pl, Melbourne, Australia",[no data],1908
1st of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1900
2nd of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1900
3rd of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1900
4th of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1900
5th of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1900
1st of '4 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1901
2nd of '4 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1901
3rd of '4 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1901
4th of '4 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1901
"Luby, James","? Albert Sq, Melbourne, Australia",[no data],1901
1st of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1902
2nd of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1902
3rd of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1902
4th of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1902
5th of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1902
1st of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1903
2nd of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1903
3rd of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1903
4th of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1903
5th of '5 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1903
